caller	caller_module	callee	callee_module	cross_module
osk_send_key_with_modifiers	ui	osk_clear_one_shot_modifiers	ui	0
osk_send_key_with_modifiers	ui	osk_send_key_with_modifiers	ui	0
osk_send_key_with_modifiers	ui	send_modified_key_tap	input	1
osk_shifted_ascii	ui	osk_shifted_ascii	ui	0
perform_manual_rfb_recovery	other	perform_manual_rfb_recovery	other	0
perform_manual_rfb_recovery	other	recover_rfb_connection	rfb_transport	1
probe_extended_desktop_size	other	probe_extended_desktop_size	other	0
probe_extended_desktop_size	other	receive_framebuffer_update	rfb_decode	1
probe_extended_desktop_size	other	request_framebuffer	rfb_transport	1
probe_extended_desktop_size	other	screenf	other	0
probe_extended_desktop_size	other	set_raw_extended_desktop_encoding	other	0
profile_emit_now	diag	profile_emit_now	diag	0
profile_emit_now	diag	profile_ticks_us	diag	0
profile_ticks_us	diag	profile_ticks_us	diag	0
ps2vnc_backend_from_transaction_name	other	ps2vnc_backend_from_transaction_name	other	0
ps2vnc_backend_transaction_name	other	ps2vnc_backend_transaction_name	other	0
ps2vnc_config_apply_display	config	ps2vnc_config_apply_display	config	0
ps2vnc_config_apply_display	config	screen_fit_apply_preset	display_calibration	1
ps2vnc_config_get_display_for_mode	config	ps2vnc_config_get_display_for_mode	config	0
ps2vnc_config_get_display_for_mode	config	ps2vnc_config_parse_display_for_mode	config	0
ps2vnc_config_get_display_for_mode	config	ps2vnc_management_get	management	1
ps2vnc_config_load_from_pi	config	ps2vnc_config_apply_display	config	0
ps2vnc_config_load_from_pi	config	ps2vnc_config_load_from_pi	config	0
ps2vnc_config_load_from_pi	config	ps2vnc_config_parse_display_for_mode	config	0
ps2vnc_config_load_from_pi	config	ps2vnc_config_parse_startup_mode	config	0
ps2vnc_config_load_from_pi	config	ps2vnc_config_presented_geometry_for_mode	config	0
ps2vnc_config_load_from_pi	config	ps2vnc_display_profile_resolve_candidate	other	1
ps2vnc_config_load_from_pi	config	ps2vnc_management_get	management	1
ps2vnc_config_load_from_pi	config	screenf	other	1
ps2vnc_config_parse_bool	config	ps2vnc_config_parse_bool	config	0
ps2vnc_config_parse_display_for_mode	config	ps2vnc_config_parse_display_for_mode	config	0
ps2vnc_config_parse_display_for_mode	config	ps2vnc_config_parse_display_section	config	0
ps2vnc_config_parse_display_policy	config	display_menu_selection_for_mode	ui	1
ps2vnc_config_parse_display_policy	config	ps2vnc_config_parse_bool	config	0
ps2vnc_config_parse_display_policy	config	ps2vnc_config_parse_display_policy	config	0
ps2vnc_config_parse_display_policy	config	ps2vnc_config_trim_left	config	0
ps2vnc_config_parse_display_policy	config	ps2vnc_config_trim_right	config	0
