file	start_line	end_line	function	geometry_score	signals	local_calls
working/b4a/ps2vnc_gsHires.c	292	295	gsKit_hires_flip	0	GS_TRANSPORT	gsKit_hires_flip_ext
working/b4a/ps2vnc_gsHires.c	308	345	gsKit_hires_flip_ext	0	GS_TRANSPORT	
working/b4a/ps2vnc_gsHires.c	349	377	gsKit_texture_to_interlaced_frame	1	DIMENSIONS,GS_TRANSPORT	
working/b4a/ps2vnc_gsHires.c	379	392	gsKit_hires_prepare_bg	0	GS_TRANSPORT	gsKit_texture_to_interlaced_frame
working/b4a/ps2vnc_gsHires.c	396	426	gsKit_hires_set_bg	1	DIMENSIONS,GS_TRANSPORT	_gsKit_create_passes,gsKit_hires_sync
working/b4a/ps2vnc_gsHires.c	430	477	hsync_callback	0	GS_TRANSPORT	
working/b4a/ps2vnc_gsHires.c	479	493	gsKit_queue_send	0	GS_TRANSPORT	
working/b4a/ps2vnc_gsHires.c	495	540	dma_to_gs_thread	0	GS_TRANSPORT	gsKit_queue_send
working/b4a/ps2vnc_gsHires.c	542	826	gsKit_hires_init_screen	1	DIMENSIONS,GS_TRANSPORT	_gsKit_create_passes,ps2vnc_hires_pitch_pixels
working/b4a/ps2vnc_gsHires.c	830	833	gsKit_hires_init_global	0	GS_TRANSPORT	
working/b4a/ps2vnc_gsHires.c	837	878	gsKit_hires_deinit_global	0	GS_TRANSPORT	
working/b4a/ps2vnc_identity.c	49	106	__wrap_sendto	0		
working/b4a/ps2vnc_management_core.inc	4	109	draw_recovery_status	0	GS_TRANSPORT,UI	osk_color,osk_draw_text_centered,osk_fill_rect,ps2vnc_display_finish_draw,ps2vnc_display_flip,ps2vnc_display_output_x,ps2vnc_display_output_y,ps2vnc_display_wait_texture_idle
working/b4a/ps2vnc_management_core.inc	116	205	initial_rfb_connect_with_retry	0	FRAMEBUFFER_RFB,GS_TRANSPORT	ethGetNetIFLinkStatus,probe_extended_desktop_size,receive_framebuffer_update,request_framebuffer,reset_rfb_transport_state,rfb_connect_and_handshake,screenf,set_gs555_pixel_format,set_raw_encoding
working/b4a/ps2vnc_management_core.inc	219	422	recover_rfb_connection	0	FRAMEBUFFER_RFB,GS_TRANSPORT,UI	draw_recovery_status,ethGetNetIFLinkStatus,probe_extended_desktop_size,ps2vnc_display_publish_full_desktop,receive_framebuffer_update,request_and_confirm_desktop_size,request_framebuffer,reset_rfb_transport_state,rfb_connect_and_handshake,set_gs555_pixel_format,set_live_encoding,set_raw_encoding
working/b4a/ps2vnc_management_core.inc	441	562	recover_rfb_transport_for_display_rollback	0	DISPLAY_MODE,FRAMEBUFFER_RFB,GS_TRANSPORT	ethGetNetIFLinkStatus,probe_extended_desktop_size,receive_framebuffer_update,request_framebuffer,reset_rfb_transport_state,rfb_connect_and_handshake_limited,set_gs555_pixel_format,set_raw_encoding
working/b4a/ps2vnc_management_core.inc	565	619	perform_manual_rfb_recovery	0	FRAMEBUFFER_RFB,GS_TRANSPORT	recover_rfb_connection
working/b4a/ps2vnc_management_core.inc	668	682	screen_fit_geometry_valid_for_mode	2	DIMENSIONS,OFFSETS_CENTERING,CALIBRATION	pstvnc_video_geometry_safe_area_valid
working/b4a/ps2vnc_management_core.inc	691	704	screen_fit_geometry_valid	2	DIMENSIONS,OFFSETS_CENTERING,DISPLAY_MODE,CALIBRATION	screen_fit_geometry_valid_for_mode
working/b4a/ps2vnc_management_core.inc	713	765	screen_fit_apply_preset	2	DIMENSIONS,OFFSETS_CENTERING,CALIBRATION	screen_fit_geometry_valid
working/b4a/ps2vnc_management_core.inc	832	943	ps2vnc_config_parse_startup_mode	0		pstvnc_config_trim_left,pstvnc_config_trim_right,pstvnc_video_mode_by_name
